MONDO ID,MONDO Label,DOID,DO Label
MONDO:0000001,disease,DOID:7,disease of anatomical entity
MONDO:0000001,disease,DOID:4,disease
MONDO:0000004,adrenocortical insufficiency,DOID:10493,adrenal cortical hypofunction
MONDO:0000009,"bleeding disorder, platelet-type",DOID:2218,blood platelet disease
MONDO:0000048,immunoglobulin A deficiency,DOID:0060025,immunoglobulin alpha deficiency
MONDO:0000050,isolated congenital growth hormone deficiency,DOID:0060870,isolated growth hormone deficiency
MONDO:0000133,immunodeficiency-centromeric instability-facial anomalies syndrome,DOID:0090007,immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000193,cortisone reductase deficiency,DOID:0090139,cortisone reductase deficiency
MONDO:0000222,seminal vesicle acute gonorrhea,DOID:0050004,seminal vesicle acute gonorrhea
MONDO:0000224,acquired carbohydrate metabolism disease,DOID:0050013,carbohydrate metabolism disease
MONDO:0000225,human monocytic ehrlichiosis,DOID:0050026,human monocytic ehrlichiosis
MONDO:0000227,African tick-bite fever,DOID:0050035,African tick-bite fever
MONDO:0000228,Astrakhan spotted fever,DOID:0050041,Astrakhan spotted fever
MONDO:0000229,Indian tick typhus,DOID:0050042,Indian tick typhus
MONDO:0000230,Israeli tick typhus,DOID:0050043,Israeli tick typhus
MONDO:0000231,Far eastern spotted fever,DOID:0050046,Far Eastern spotted fever
MONDO:0000232,Flinders island spotted fever,DOID:0050047,Flinders Island spotted fever
MONDO:0000233,Japanese spotted fever,DOID:0050050,Japanese spotted fever
MONDO:0000234,rickettsia parkeri spotted fever,DOID:0050051,Rickettsia parkeri spotted fever
MONDO:0000236,oropharyngeal anthrax,DOID:0050059,oropharyngeal anthrax
MONDO:0000237,erysipeloid,DOID:0050061,erysipeloid
MONDO:0000238,pestis minor,DOID:0050068,pestis minor
MONDO:0000239,pulmonary adiaspiromycosis,DOID:0050072,adiaspiromycosis
MONDO:0000240,invasive aspergillosis,DOID:0050073,invasive aspergillosis
MONDO:0000241,Keshan disease,DOID:0050083,Keshan disease
MONDO:0000242,tinea barbae,DOID:0050096,tinea barbae
MONDO:0000243,ectothrix infectious disease,DOID:0050097,ectothrix infectious disease
MONDO:0000244,endothrix infectious disease,DOID:0050105,endothrix infectious disease
MONDO:0000245,tinea imbricata,DOID:0050116,tinea imbricata
MONDO:0000248,dengue shock syndrome,DOID:0050125,dengue shock syndrome
MONDO:0000249,secretory diarrhea,DOID:0050129,secretory diarrhea
MONDO:0000250,osmotic diarrhea,DOID:0050130,osmotic diarrhea
MONDO:0000251,motility-related diarrhea,DOID:0050131,motility-related diarrhea
MONDO:0000252,inflammatory diarrhea,DOID:0050132,inflammatory diarrhea
