UBERON ID,UBERON Label,FMA ID,FMA Label,
UBERON:0000002,uterine cervix,FMA:17740,Cervix of uterus,
UBERON:0000004,nose,FMA:46472,Nose,
UBERON:0000006,islet of Langerhans,FMA:16016,Pancreatic islet,
UBERON:0000007,pituitary gland,FMA:13889,Pituitary gland,
UBERON:0000009,submucosa,FMA:85391,Submucosa,
UBERON:0000009,submucosa,FMA:85392,Region of submucosa,
UBERON:0000010,peripheral nervous system,FMA:9903,Peripheral nervous system,
UBERON:0000011,parasympathetic nervous system,FMA:9907,Parasympathetic nervous system,
UBERON:0000012,somatic nervous system,FMA:9904,Somatic nervous system,
UBERON:0000013,sympathetic nervous system,FMA:9906,Sympathetic nervous system,
UBERON:0000014,zone of skin,FMA:86166,Zone of skin,
UBERON:0000015,non-material anatomical boundary,FMA:50705,Anatomical boundary entity,
UBERON:0000016,endocrine pancreas,FMA:16018,Endocrine pancreas,
UBERON:0000017,exocrine pancreas,FMA:16017,Exocrine pancreas,
UBERON:0000019,camera-type eye,FMA:54448,Eye,
UBERON:0000021,cutaneous appendage,FMA:71012,Skin appendage,
UBERON:0000029,lymph node,FMA:5034,Lymph node,
UBERON:0000030,lamina propria,FMA:62517,Lamina propria,
UBERON:0000031,lamina propria of trachea,FMA:265157,Lamina propria of trachea,
UBERON:0000033,head,FMA:7154,Head,
UBERON:0000035,primary ovarian follicle,FMA:18634,Primary follicle of ovary,
UBERON:0000036,secondary ovarian follicle,FMA:18637,Secondary follicle of ovary,
UBERON:0000037,tertiary ovarian follicle,FMA:18641,Tertiary follicle of ovary,
UBERON:0000038,follicular fluid,FMA:18665,Portion of follicular fluid,
UBERON:0000039,follicular antrum,FMA:18675,Antral cavity,
UBERON:0000042,serous membrane,FMA:9581,Serous membrane,
UBERON:0000043,tendon,FMA:9721,Tendon,
UBERON:0000044,dorsal root ganglion,FMA:5888,Spinal ganglion,
UBERON:0000045,ganglion,FMA:5884,Ganglion,
UBERON:0000051,fornix of vagina,FMA:19985,Fornix of vagina,
UBERON:0000052,fornix of brain,FMA:61965,Fornix of forebrain,
UBERON:0000052,fornix of brain,FMA:83865,Fornix of neuraxis,
UBERON:0000053,macula lutea,FMA:58637,Macula lutea,
UBERON:0000056,ureter,FMA:9704,Ureter,
UBERON:0000057,urethra,FMA:19667,Urethra,
UBERON:0000058,duct,FMA:30320,Duct,
UBERON:0000059,large intestine,FMA:7201,Large intestine,
UBERON:0000060,anatomical wall,FMA:82482,Wall of organ,
UBERON:0000061,anatomical structure,FMA:67135,Postnatal anatomical structure,
UBERON:0000061,anatomical structure,FMA:305751,Anatomical structure,
UBERON:0000062,organ,FMA:67498,Organ,
UBERON:0000063,organ subunit,FMA:86140,Organ segment,
UBERON:0000064,organ part,FMA:82472,Cardinal organ part,
UBERON:0000065,respiratory tract,FMA:265130,Respiratory tract,
UBERON:0000068,embryo stage,FMA:72652,Embryonic stage,
UBERON:0000072,proximo-distal subdivision of respiratory tract,FMA:45660,Subdivision of respiratory tract,
UBERON:0000074,renal glomerulus,FMA:15624,Glomerulus,
UBERON:0000075,subdivision of skeletal system,FMA:85544,Subdivision of skeletal system,
UBERON:0000076,external ectoderm,FMA:87656,Surface ectoderm of entire embryo,
UBERON:0000079,male reproductive system,FMA:45664,Genital system of male human body,
UBERON:0000080,mesonephros,FMA:72171,Mesonephros,
UBERON:0000081,metanephros,FMA:72172,Metanephros,
UBERON:0000082,adult mammalian kidney,FMA:7203,Kidney,
UBERON:0000085,morula,FMA:292334,Morula,
UBERON:0000086,zona pellucida,FMA:18674,Zona pellucida,
UBERON:0000087,inner cell mass,FMA:86557,Inner cell mass,
UBERON:0000088,trophoblast,FMA:83029,Trophoblast,
UBERON:0000089,hypoblast (generic),FMA:293873,Hypoblast,
UBERON:0000090,blastocele,FMA:293131,Blastocyst cavity,
UBERON:0000091,bilaminar disc,FMA:293863,Bilaminar embryonic disc,
UBERON:0000094,membrane organ,FMA:7145,Membrane organ,
UBERON:0000101,lobe of lung,FMA:7311,Lobe of lung,
UBERON:0000102,lung vasculature,FMA:73750,Vasculature of lung,
UBERON:0000105,life cycle stage,FMA:24120,Developmental stage,
UBERON:0000114,lung connective tissue,FMA:27533,Pulmonary interstitium,
UBERON:0000117,respiratory tube,FMA:12224,Segment of tracheobronchial tree,
UBERON:0000121,perineurium,FMA:52585,Perineurium,
UBERON:0000123,endoneurium,FMA:52586,Endoneurium,
UBERON:0000124,epineurium,FMA:12234,Epineurium,
UBERON:0000125,neural nucleus,FMA:83686,Nucleus of neuraxis,
UBERON:0000126,cranial nerve nucleus,FMA:54501,Nucleus of cranial nerve,
UBERON:0000127,facial nucleus,FMA:54572,Facial nucleus,
UBERON:0000130,transverse foramen,FMA:23997,Transverse foramen of cervical vertebra,
UBERON:0000144,trochlea of humerus,FMA:23370,Trochlea of humerus,
UBERON:0000155,theca cell layer,FMA:18656,Theca folliculi,
UBERON:0000156,theca externa,FMA:18657,Tunica externa of theca folliculi,
UBERON:0000157,theca interna,FMA:18658,Tunica interna of theca folliculi,
UBERON:0000158,membranous layer,FMA:30322,Membrane,
UBERON:0000158,membranous layer,FMA:82500,Membranous layer,
UBERON:0000159,anal canal,FMA:15703,Anal canal,
UBERON:0000160,intestine,FMA:7199,Intestine,
UBERON:0000161,orifice,FMA:3724,Anatomical orifice,
UBERON:0000165,mouth,FMA:49184,Mouth,
UBERON:0000166,oral opening,FMA:59806,Oral orifice,
UBERON:0000167,oral cavity,FMA:20292,Cavity of mouth,
UBERON:0000168,proximal-distal subdivision of colon,FMA:222905,Segment of colon,
UBERON:0000170,pair of lungs,FMA:68877,Pair of lungs,
UBERON:0000173,amniotic fluid,FMA:305905,Amniotic fluid,
UBERON:0000174,excreta,FMA:9674,Portion of excreted substance,
UBERON:0000178,blood,FMA:9670,Portion of blood,
UBERON:0000180,lateral lumbar region of abdomen,FMA:14603,Lateral lumbar region of abdomen,
UBERON:0000199,neck of radius,FMA:23479,Neck of radius,
UBERON:0000200,gyrus,FMA:83874,Gyrus of brain,
UBERON:0000209,tetrapod frontal bone,FMA:52734,Frontal bone,
UBERON:0000210,tetrapod parietal bone,FMA:9613,Parietal bone,
UBERON:0000211,ligament,FMA:30319,Ligament,
UBERON:0000211,ligament,FMA:21496,Ligament organ,
UBERON:0000218,vertebral arch of axis,FMA:24053,Vertebral arch of axis,
UBERON:0000219,vertebral foramen of atlas,FMA:24293,Vertebral foramen of atlas,
UBERON:0000220,atlanto-occipital joint,FMA:24939,Atlanto-occipital joint,
UBERON:0000221,supraauricular point,FMA:224222,Supra-auricular part of head,
UBERON:0000301,amniotic cavity,FMA:63941,Amniotic cavity,
UBERON:0000303,adductor longus,FMA:22441,Adductor longus,
UBERON:0000304,tendon sheath,FMA:45087,Synovial tendon sheath,
UBERON:0000304,tendon sheath,FMA:76715,Tendon sheath,
UBERON:0000305,amnion,FMA:80223,Amnion,
UBERON:0000309,body wall,FMA:10427,Body wall,
UBERON:0000310,breast,FMA:9601,Breast,
UBERON:0000311,extensor muscle,FMA:75000,Extensor muscle,
UBERON:0000312,inner cambium layer of periosteum,FMA:234358,Cambial layer of periosteum,
UBERON:0000313,portion of cartilage tissue in tibia,FMA:33923,Cartilage of tibia,
UBERON:0000314,cecum mucosa,FMA:14998,Mucosa of cecum,
UBERON:0000315,subarachnoid space,FMA:83716,Subarachnoid space,
UBERON:0000316,cervical mucus,FMA:83689,Cervical mucus,
UBERON:0000317,colonic mucosa,FMA:14984,Mucosa of colon,
UBERON:0000317,colonic mucosa,FMA:85388,Mucosa of segment of colon,
UBERON:0000319,cytotrophoblast,FMA:83039,Cytotrophoblast,
UBERON:0000320,duodenal mucosa,FMA:14942,Mucosa of duodenum,
UBERON:0000323,late embryo,FMA:63919,Fetus,
UBERON:0000325,gastric gland,FMA:14919,Gastric gland,
UBERON:0000326,pancreatic juice,FMA:62973,Portion of pancreatic juice,
UBERON:0000328,gut wall,FMA:45653,Wall of gut,
UBERON:0000329,hair root,FMA:70730,Hair root,
UBERON:0000331,ileal mucosa,FMA:14956,Mucosa of ileum,
UBERON:0000332,yellow bone marrow,FMA:74596,Yellow bone marrow,
UBERON:0000333,intestinal gland,FMA:15052,Intestinal gland,
UBERON:0000341,throat,FMA:228738,Throat,
UBERON:0000344,mucosa,FMA:85355,Mucosa,
UBERON:0000344,mucosa,FMA:85358,Region of mucosa,
UBERON:0000345,myelin,FMA:62977,Myelin,
UBERON:0000347,entire myelin sheath,FMA:62983,Myelin sheath,
UBERON:0000348,ophthalmic nerve,FMA:52621,Ophthalmic nerve,
UBERON:0000349,limbic system,FMA:242000,Limbic system,
UBERON:0000351,nuchal ligament,FMA:13427,Ligamentum nuchae,
UBERON:0000353,parenchyma,FMA:45732,Parenchyma,
UBERON:0000355,pharyngeal mucosa,FMA:55031,Mucosa of pharynx,
UBERON:0000358,blastocyst,FMA:83041,Blastocyst,
UBERON:0000361,red bone marrow,FMA:74595,Red bone marrow,
UBERON:0000363,reticuloendothelial system,FMA:84189,Mononuclear phagocyte system,
UBERON:0000365,urothelium,FMA:67695,Urothelium,
UBERON:0000365,urothelium,FMA:63914,Transitional epithelium,
UBERON:0000366,flexor muscle,FMA:74559,Flexor,
UBERON:0000366,flexor muscle,FMA:74999,Flexor muscle,
UBERON:0000368,adductor brevis,FMA:22442,Adductor brevis,
UBERON:0000369,corpus striatum,FMA:77616,Corpus striatum,
UBERON:0000370,adductor magnus,FMA:22443,Adductor magnus,
UBERON:0000371,syncytiotrophoblast,FMA:83040,Syncytial trophoblast,
UBERON:0000372,extensor digitorum brevis pes,FMA:51140,Extensor digitorum brevis,
UBERON:0000373,tapetum of corpus callosum,FMA:77208,Tapetum,
UBERON:0000375,mandibular nerve,FMA:52996,Mandibular nerve,
UBERON:0000376,hindlimb stylopod,FMA:24967,Thigh,
UBERON:0000377,maxillary nerve,FMA:52724,Maxillary nerve,
UBERON:0000378,tongue muscle,FMA:46689,Muscle of tongue,
UBERON:0000379,tracheal mucosa,FMA:7471,Mucosa of trachea,
UBERON:0000381,urinary bladder detrusor smooth muscle,FMA:68018,Detrusor,
UBERON:0000382,apocrine sweat gland,FMA:59155,Apocrine sweat gland,
UBERON:0000383,musculature of body,FMA:72954,Entire musculature,
UBERON:0000387,meniscus,FMA:76690,Articular disc,
UBERON:0000388,epiglottis,FMA:55130,Epiglottis,
UBERON:0000389,lens cortex,FMA:58970,Cortex of lens,
UBERON:0000390,lens nucleus,FMA:58971,Nucleus of lens,
UBERON:0000391,leptomeninx,FMA:231515,Leptomeningeal sac,
UBERON:0000392,longissimus muscle,FMA:77178,Longissimus,
UBERON:0000395,cochlear ganglion,FMA:53445,Cochlear ganglion,
UBERON:0000396,vallate papilla,FMA:54822,Vallate papilla of tongue,
UBERON:0000397,colonic epithelium,FMA:17302,Epithelium of colon,
UBERON:0000398,cartilage tissue of sternum,FMA:32567,Cartilage of sternum,
UBERON:0000399,jejunal mucosa,FMA:14949,Mucosa of jejunum,
UBERON:0000400,jejunal epithelium,FMA:17232,Jejunal epithelium,
UBERON:0000401,mandibular ramus,FMA:52828,Ramus of mandible,
UBERON:0000402,nasal vestibule,FMA:59644,Nasal vestibule,
UBERON:0000403,scalp,FMA:46494,Scalp,
UBERON:0000407,sympathetic trunk,FMA:6258,Sympathetic trunk,
UBERON:0000408,vertebral ganglion,FMA:6572,Vertebral ganglion,
UBERON:0000409,serous gland,FMA:62889,Serous gland,
UBERON:0000410,bronchial mucosa,FMA:62652,Mucosa of bronchus,
UBERON:0000411,visual cortex,FMA:242644,Secondary visual cortex,
UBERON:0000412,dermal papilla,FMA:70737,Dermal papilla,
UBERON:0000414,mucous gland,FMA:62888,Mucous gland,
UBERON:0000415,artery wall,FMA:14155,Wall of artery,
UBERON:0000416,subdural space,FMA:83803,Subdural space,
UBERON:0000420,myoepithelium,FMA:67805,Myo-epithelium,
UBERON:0000423,eccrine sweat gland,FMA:59154,Eccrine sweat gland,
UBERON:0000424,gastric pit,FMA:62947,Gastric foveola,
UBERON:0000426,extravillous trophoblast,FMA:86561,Intermediate trophoblast,
UBERON:0000428,prostate epithelium,FMA:66812,Prostatic epithelium,
UBERON:0000428,prostate epithelium,FMA:79643,Epithelium of prostatic gland,
UBERON:0000429,enteric plexus,FMA:77597,Enteric plexus,
UBERON:0000430,ventral intermediate nucleus of thalamus,FMA:84347,Ventral intermediate nucleus of thalamus,
UBERON:0000431,ventral medial complex of thalamus,FMA:77795,Set of ventral medial nuclei of thalamus,
UBERON:0000432,endopeduncular nucleus,FMA:77691,Endopeduncular nucleus,
UBERON:0000433,posterior paraventricular nucleus of thalamus,FMA:76961,Dorsal paraventricular nucleus of thalamus,
UBERON:0000434,anterior paraventricular nucleus of thalamus,FMA:76962,Ventral paraventricular nucleus of thalamus,
UBERON:0000435,lateral tuberal nucleus,FMA:62336,Lateral tuberal nucleus,
UBERON:0000437,arachnoid barrier layer,FMA:231559,Arachnoid barrier layer,
UBERON:0000439,arachnoid trabecula,FMA:83979,Arachnoid trabecula,
UBERON:0000440,trabecula,FMA:85273,Trabecula,
UBERON:0000442,right testicular vein,FMA:14341,Right testicular vein,
UBERON:0000443,left testicular vein,FMA:14345,Left testicular vein,
UBERON:0000444,lymphoid follicle,FMA:55222,Nodular lymphoid tissue,
UBERON:0000445,habenular trigone,FMA:74868,Habenular trigone,
UBERON:0000446,septum of telencephalon,FMA:61842,Septum of telencephalon,
UBERON:0000450,corpus albicans,FMA:18620,Corpus albicans,
UBERON:0000451,prefrontal cortex,FMA:224850,Prefrontal cortex,
UBERON:0000453,decidua basalis,FMA:86477,Decidua basalis,
UBERON:0000454,cerebral subcortex,FMA:242188,Subcortex of cerebral hemisphere,
UBERON:0000456,secretion of exocrine gland,FMA:9675,Portion of secreted substance,
UBERON:0000457,cavernous artery,FMA:70527,Cavernous artery,
UBERON:0000458,endocervix,FMA:86485,Endocervix,
UBERON:0000459,uterine wall,FMA:17560,Wall of uterus,
UBERON:0000460,major vestibular gland,FMA:9598,Greater vestibular gland,
